board,wall,uptime_ms,kind,reason,bssid,chan,rssi,value,note
tdeck,2026-08-30 22:08:02,,udp_tx,len=73 ok=1,,,,89.185.97.38,t0-47.2s
tdeck,2026-08-30 22:08:23,,udp_tx,len=32 ok=1,,,,89.185.97.38,t0-26.4s
tdeck,2026-08-30 22:08:23,,udp_rx,len=20 head=42454154,,,,89.185.97.38,t0-26.4s
heltec,2026-08-30 22:08:23,,udp_tx,len=32 ok=1,,,,89.185.97.38,t0-26.2s
heltec,2026-08-30 22:08:23,,udp_rx,len=20 head=42454154,,,,89.185.97.38,t0-26.0s
tbeam,2026-08-30 22:08:23,,udp_tx,len=27 ok=1,,,,89.185.97.38,t0-25.6s
tbeam,2026-08-30 22:08:23,,udp_rx,len=20 head=42454154,,,,89.185.97.38,t0-25.6s
heltec,2026-08-30 22:08:29,,link_up,heartbeat,46:AF:97:2E:2B:86,3,-72,246389,t0-20.0s
heltec,2026-08-30 22:08:29,,got_ip,heartbeat,,,,246389,t0-20.0s
tbeam,2026-08-30 22:08:29,,link_up,heartbeat,5A:AF:97:2E:2B:8B,3,-58,245843,t0-19.9s
tbeam,2026-08-30 22:08:29,,got_ip,heartbeat,,,,245843,t0-19.9s
tdeck,2026-08-30 22:08:30,,link_up,heartbeat,5A:AF:97:2E:2B:8B,3,-67,247415,t0-19.1s
tdeck,2026-08-30 22:08:30,,got_ip,heartbeat,,,,247415,t0-19.1s
heltec,2026-08-30 22:08:46,,udp_tx,len=111 ok=1,,,,89.185.97.38,t0-3.1s
tbeam,2026-08-30 22:08:46,,udp_tx,len=111 ok=1,,,,89.185.97.38,t0-3.0s
heltec,2026-08-30 22:08:49,,link_down,200:BEACON_TIMEOUT,,,,266501,t0+0.0s
rak,2026-08-30 22:08:50,,link_down,eth event,,,,858042,t0+1.0s
heltec,2026-08-30 22:08:53,,link_down,201:NO_AP_FOUND,,,,269890,t0+3.5s
tdeck,2026-08-30 22:08:53,,udp_tx,len=127 ok=1,,,,89.185.97.38,t0+3.5s
tdeck,2026-08-30 22:08:53,,udp_tx,len=32 ok=1,,,,89.185.97.38,t0+3.5s
heltec,2026-08-30 22:08:53,,udp_tx,len=32 ok=0,,,,89.185.97.38,t0+3.9s
tbeam,2026-08-30 22:08:53,,udp_tx,len=27 ok=1,,,,89.185.97.38,t0+4.3s
tbeam,2026-08-30 22:08:55,,link_down,200:BEACON_TIMEOUT,,,,271550,t0+5.8s
tdeck,2026-08-30 22:08:55,,link_down,200:BEACON_TIMEOUT,,,,272204,t0+5.8s
heltec,2026-08-30 22:08:56,,link_down,201:NO_AP_FOUND,,,,273278,t0+6.9s
rak,2026-08-30 22:08:57,,link_down,eth heartbeat,,,,864647,t0+7.6s
rak,2026-08-30 22:08:57,,got_ip,eth heartbeat 192.168.68.72,,,,864647,t0+7.6s
rak,2026-08-30 22:08:57,,udp_rx,eth rx_n +1,,,,31,t0+7.6s
tdeck,2026-08-30 22:08:58,,link_down,201:NO_AP_FOUND,,,,275599,t0+9.0s
tbeam,2026-08-30 22:08:58,,link_down,201:NO_AP_FOUND,,,,274947,t0+9.0s
rak,2026-08-30 22:08:59,,link_up,eth event,,,,866653,t0+9.6s
heltec,2026-08-30 22:08:59,,link_down,201:NO_AP_FOUND,,,,276667,t0+10.2s
tbeam,2026-08-30 22:09:02,,link_down,201:NO_AP_FOUND,,,,278345,t0+12.5s
tdeck,2026-08-30 22:09:02,,link_down,201:NO_AP_FOUND,,,,278994,t0+12.5s
heltec,2026-08-30 22:09:03,,link_down,201:NO_AP_FOUND,,,,280055,t0+13.7s
tbeam,2026-08-30 22:09:05,,link_down,201:NO_AP_FOUND,,,,281743,t0+15.9s
tdeck,2026-08-30 22:09:05,,link_down,201:NO_AP_FOUND,,,,282388,t0+15.9s
heltec,2026-08-30 22:09:06,,link_down,201:NO_AP_FOUND,,,,283443,t0+17.0s
tbeam,2026-08-30 22:09:08,,link_down,201:NO_AP_FOUND,,,,285141,t0+19.2s
tdeck,2026-08-30 22:09:08,,link_down,201:NO_AP_FOUND,,,,285783,t0+19.2s
heltec,2026-08-30 22:09:10,,link_down,201:NO_AP_FOUND,,,,286831,t0+20.4s
tbeam,2026-08-30 22:09:12,,link_down,201:NO_AP_FOUND,,,,288539,t0+22.7s
tdeck,2026-08-30 22:09:12,,link_down,201:NO_AP_FOUND,,,,289177,t0+22.7s
heltec,2026-08-30 22:09:13,,link_down,201:NO_AP_FOUND,,,,290218,t0+23.9s
rak,2026-08-30 22:09:15,,link_down,eth event,,,,883005,t0+26.1s
tbeam,2026-08-30 22:09:15,,link_down,201:NO_AP_FOUND,,,,291937,t0+26.1s
tdeck,2026-08-30 22:09:15,,link_down,201:NO_AP_FOUND,,,,292572,t0+26.1s
heltec,2026-08-30 22:09:16,,udp_tx,len=131 ok=0,,,,89.185.97.38,t0+27.0s
heltec,2026-08-30 22:09:16,,link_down,201:NO_AP_FOUND,,,,293606,t0+27.2s
tdeck,2026-08-30 22:09:19,,link_down,201:NO_AP_FOUND,,,,295967,t0+29.4s
tbeam,2026-08-30 22:09:19,,link_down,201:NO_AP_FOUND,,,,295334,t0+29.6s
heltec,2026-08-30 22:09:20,,link_down,201:NO_AP_FOUND,,,,296995,t0+30.6s
tbeam,2026-08-30 22:09:22,,link_down,201:NO_AP_FOUND,,,,298733,t0+32.8s
tdeck,2026-08-30 22:09:22,,link_down,201:NO_AP_FOUND,,,,299361,t0+32.9s
rak,2026-08-30 22:09:28,,link_up,eth event,,,,896161,t0+39.1s
tbeam,2026-08-30 22:09:29,,link_down,heartbeat,,,,305844,t0+40.0s
heltec,2026-08-30 22:09:29,,link_down,heartbeat,,,,306392,t0+40.0s
tdeck,2026-08-30 22:09:30,,link_down,heartbeat,,,,307417,t0+41.0s
tdeck,2026-08-30 22:09:30,,link_down,201:NO_AP_FOUND,,,,307460,t0+41.0s
heltec,2026-08-30 22:09:30,,link_down,201:NO_AP_FOUND,,,,307782,t0+41.3s
tbeam,2026-08-30 22:09:31,,link_down,201:NO_AP_FOUND,,,,307699,t0+41.8s
rak,2026-08-30 22:09:32,,link_down,eth event,,,,899448,t0+42.4s
tdeck,2026-08-30 22:09:33,,link_down,201:NO_AP_FOUND,,,,310855,t0+44.3s
heltec,2026-08-30 22:09:34,,link_down,201:NO_AP_FOUND,,,,311169,t0+44.7s
tbeam,2026-08-30 22:09:34,,link_down,201:NO_AP_FOUND,,,,311096,t0+45.3s
tdeck,2026-08-30 22:09:37,,link_down,201:NO_AP_FOUND,,,,314249,t0+47.7s
heltec,2026-08-30 22:09:37,,link_down,201:NO_AP_FOUND,,,,314558,t0+48.2s
tbeam,2026-08-30 22:09:38,,link_down,201:NO_AP_FOUND,,,,314493,t0+48.7s
tdeck,2026-08-30 22:09:40,,link_down,201:NO_AP_FOUND,,,,317644,t0+51.2s
heltec,2026-08-30 22:09:41,,link_down,201:NO_AP_FOUND,,,,317945,t0+51.5s
tbeam,2026-08-30 22:09:41,,link_down,201:NO_AP_FOUND,,,,317890,t0+52.0s
tdeck,2026-08-30 22:09:44,,link_down,201:NO_AP_FOUND,,,,321038,t0+54.5s
heltec,2026-08-30 22:09:44,,link_down,201:NO_AP_FOUND,,,,321334,t0+54.9s
tbeam,2026-08-30 22:09:45,,link_down,201:NO_AP_FOUND,,,,321288,t0+55.4s
tdeck,2026-08-30 22:09:47,,link_down,201:NO_AP_FOUND,,,,324433,t0+57.9s
heltec,2026-08-30 22:09:48,,link_down,201:NO_AP_FOUND,,,,324722,t0+58.4s
tbeam,2026-08-30 22:09:48,,link_down,201:NO_AP_FOUND,,,,324686,t0+58.9s
tdeck,2026-08-30 22:09:50,,link_down,201:NO_AP_FOUND,,,,327828,t0+61.4s
heltec,2026-08-30 22:09:51,,link_down,201:NO_AP_FOUND,,,,328110,t0+61.6s
tbeam,2026-08-30 22:09:51,,link_down,201:NO_AP_FOUND,,,,328083,t0+62.3s
tdeck,2026-08-30 22:09:54,,link_down,201:NO_AP_FOUND,,,,331223,t0+64.6s
heltec,2026-08-30 22:09:54,,link_down,201:NO_AP_FOUND,,,,331497,t0+65.1s
rak,2026-08-30 22:09:54,,ntp_fail,txfail,,,,162.159.200.1,t0+65.2s
rak,2026-08-30 22:09:54,,stall,ntp,,,,1609,loop t0+65.2s
tbeam,2026-08-30 22:09:55,,link_down,201:NO_AP_FOUND,,,,331482,t0+65.6s
rak,2026-08-30 22:09:57,,link_down,eth heartbeat,,,,924685,t0+67.7s
rak,2026-08-30 22:09:57,,got_ip,eth heartbeat 192.168.68.72,,,,924685,t0+67.7s
tdeck,2026-08-30 22:09:57,,link_down,201:NO_AP_FOUND,,,,334617,t0+68.1s
heltec,2026-08-30 22:09:58,,link_down,201:NO_AP_FOUND,,,,334886,t0+68.4s
tbeam,2026-08-30 22:09:58,,link_down,201:NO_AP_FOUND,,,,334879,t0+69.1s
rak,2026-08-30 22:09:59,,ntp_fail,txfail,,,,162.159.200.1,t0+70.1s
tdeck,2026-08-30 22:10:01,,link_down,201:NO_AP_FOUND,,,,338011,t0+71.5s
heltec,2026-08-30 22:10:01,,link_down,201:NO_AP_FOUND,,,,338274,t0+71.9s
tbeam,2026-08-30 22:10:02,,link_down,201:NO_AP_FOUND,,,,338279,t0+72.5s
tdeck,2026-08-30 22:10:04,,link_down,201:NO_AP_FOUND,,,,341406,t0+74.8s
rak,2026-08-30 22:10:04,,ntp_fail,txfail,,,,162.159.200.1,t0+75.2s
heltec,2026-08-30 22:10:04,,link_down,201:NO_AP_FOUND,,,,341662,t0+75.3s
tbeam,2026-08-30 22:10:05,,link_down,201:NO_AP_FOUND,,,,341677,t0+75.8s
tdeck,2026-08-30 22:10:07,,link_down,201:NO_AP_FOUND,,,,344800,t0+78.3s
rak,2026-08-30 22:10:08,,link_up,eth event,,,,935494,t0+78.5s
heltec,2026-08-30 22:10:08,,link_down,201:NO_AP_FOUND,,,,345050,t0+78.6s
tbeam,2026-08-30 22:10:08,,link_down,201:NO_AP_FOUND,,,,345075,t0+79.2s
tdeck,2026-08-30 22:10:11,,link_down,201:NO_AP_FOUND,,,,348195,t0+81.7s
heltec,2026-08-30 22:10:11,,link_down,201:NO_AP_FOUND,,,,348438,t0+82.1s
tbeam,2026-08-30 22:10:12,,link_down,201:NO_AP_FOUND,,,,348472,t0+82.7s
tdeck,2026-08-30 22:10:14,,link_down,201:NO_AP_FOUND,,,,351590,t0+85.0s
heltec,2026-08-30 22:10:14,,link_down,201:NO_AP_FOUND,,,,351825,t0+85.3s
tbeam,2026-08-30 22:10:15,,link_down,201:NO_AP_FOUND,,,,351871,t0+86.0s
tdeck,2026-08-30 22:10:18,,link_down,201:NO_AP_FOUND,,,,354985,t0+88.5s
heltec,2026-08-30 22:10:18,,link_down,201:NO_AP_FOUND,,,,355214,t0+88.8s
tbeam,2026-08-30 22:10:19,,link_down,201:NO_AP_FOUND,,,,355269,t0+89.5s
tdeck,2026-08-30 22:10:21,,link_down,201:NO_AP_FOUND,,,,358379,t0+91.9s
heltec,2026-08-30 22:10:21,,link_down,201:NO_AP_FOUND,,,,358602,t0+92.1s
tbeam,2026-08-30 22:10:22,,link_down,201:NO_AP_FOUND,,,,358667,t0+92.9s
heltec,2026-08-30 22:10:26,,link_up,connected,,,,362785,t0+96.4s
tdeck,2026-08-30 22:10:26,,link_up,connected,,,,362859,t0+96.4s
tdeck,2026-08-30 22:10:27,,got_ip,event,,,,364069,t0+97.6s
tdeck,2026-08-30 22:10:27,,got_ip,assoc,46:AF:97:2E:2B:86,8,-76,364069,t0+97.6s
tdeck,2026-08-30 22:10:27,,udp_tx,len=32 ok=1,,,,89.185.97.38,t0+97.6s
tdeck,2026-08-30 22:10:27,,udp_tx,len=32 ok=1,,,,89.185.97.38,t0+97.6s
tdeck,2026-08-30 22:10:27,,udp_tx,len=32 ok=1,,,,89.185.97.38,t0+97.6s
tbeam,2026-08-30 22:10:27,,link_up,connected,,,,363646,t0+97.8s
tdeck,2026-08-30 22:10:27,,udp_rx,len=20 head=42454154,,,,89.185.97.38,t0+97.8s
tdeck,2026-08-30 22:10:27,,udp_rx,len=20 head=42454154,,,,89.185.97.38,t0+97.8s
tdeck,2026-08-30 22:10:27,,udp_rx,len=20 head=42454154,,,,89.185.97.38,t0+97.8s
heltec,2026-08-30 22:10:27,,got_ip,event,,,,364381,t0+98.0s
heltec,2026-08-30 22:10:27,,got_ip,assoc,46:AF:97:2E:2B:86,8,-76,364381,t0+98.0s
heltec,2026-08-30 22:10:27,,udp_tx,len=32 ok=1,,,,89.185.97.38,t0+98.0s
heltec,2026-08-30 22:10:27,,udp_tx,len=32 ok=1,,,,89.185.97.38,t0+98.0s
heltec,2026-08-30 22:10:27,,udp_tx,len=32 ok=1,,,,89.185.97.38,t0+98.0s
heltec,2026-08-30 22:10:27,,udp_rx,len=20 head=42454154,,,,89.185.97.38,t0+98.2s
heltec,2026-08-30 22:10:27,,udp_rx,len=20 head=42454154,,,,89.185.97.38,t0+98.2s
heltec,2026-08-30 22:10:27,,udp_rx,len=20 head=42454154,,,,89.185.97.38,t0+98.2s
tbeam,2026-08-30 22:10:28,,got_ip,event,,,,364850,t0+99.0s
tbeam,2026-08-30 22:10:28,,got_ip,assoc,46:AF:97:2E:2B:86,8,-70,364851,t0+99.0s
tbeam,2026-08-30 22:10:28,,udp_tx,len=27 ok=1,,,,89.185.97.38,t0+99.0s
tbeam,2026-08-30 22:10:28,,udp_tx,len=27 ok=1,,,,89.185.97.38,t0+99.0s
tbeam,2026-08-30 22:10:28,,udp_tx,len=27 ok=1,,,,89.185.97.38,t0+99.0s
tbeam,2026-08-30 22:10:28,,udp_rx,len=20 head=42454154,,,,89.185.97.38,t0+99.2s
tbeam,2026-08-30 22:10:28,,udp_rx,len=20 head=42454154,,,,89.185.97.38,t0+99.2s
tbeam,2026-08-30 22:10:28,,udp_rx,len=20 head=42454154,,,,89.185.97.38,t0+99.2s
tbeam,2026-08-30 22:10:29,,link_up,heartbeat,46:AF:97:2E:2B:86,8,-72,365846,t0+100.1s
tbeam,2026-08-30 22:10:29,,got_ip,heartbeat,,,,365846,t0+100.1s
heltec,2026-08-30 22:10:29,,link_up,heartbeat,46:AF:97:2E:2B:86,8,-76,366394,t0+100.1s
heltec,2026-08-30 22:10:29,,got_ip,heartbeat,,,,366394,t0+100.1s
tdeck,2026-08-30 22:10:30,,link_up,heartbeat,46:AF:97:2E:2B:86,8,-75,367419,t0+100.9s
tdeck,2026-08-30 22:10:30,,got_ip,heartbeat,,,,367419,t0+100.9s
heltec,2026-08-30 22:10:31,,udp_rx,len=48 head=240106E7,,,,185.248.188.98,t0+102.1s
heltec,2026-08-30 22:10:31,,ntp_ok,rtt=74,,,,1788120631,t0+102.1s
heltec,2026-08-30 22:10:45,,udp_tx,len=95 ok=1,,,,89.185.97.38,t0+116.2s
tbeam,2026-08-30 22:10:45,,udp_tx,len=95 ok=1,,,,89.185.97.38,t0+116.3s
tdeck,2026-08-30 22:10:52,,udp_tx,len=111 ok=1,,,,89.185.97.38,t0+122.8s
tbeam,2026-08-30 22:10:54,,udp_tx,len=66 ok=1,,,,89.185.97.38,t0+124.5s
tdeck,2026-08-30 22:10:57,,udp_tx,len=32 ok=1,,,,89.185.97.38,t0+127.5s
tdeck,2026-08-30 22:10:57,,udp_rx,len=20 head=42454154,,,,89.185.97.38,t0+127.7s
