board,wall,uptime_ms,kind,reason,bssid,chan,rssi,value,note
tbeam,2026-08-31 03:07:50,15903376,link,up,46:AF:97:2E:2B:86,3,-72,age_s=188 ip=1,
tbeam,2026-08-31 03:08:50,15963381,link,up,46:AF:97:2E:2B:86,3,-71,age_s=248 ip=1,
tbeam,2026-08-31 03:09:50,16023381,link,up,46:AF:97:2E:2B:86,3,-71,age_s=308 ip=1,
tbeam,2026-08-31 03:10:50,16083382,link,up,46:AF:97:2E:2B:86,3,-72,age_s=368 ip=1,
tbeam,2026-08-31 03:11:50,16143383,link,up,46:AF:97:2E:2B:86,3,-72,age_s=428 ip=1,
tbeam,2026-08-31 03:12:50,16203383,link,up,46:AF:97:2E:2B:86,3,-72,age_s=488 ip=1,
tbeam,2026-08-31 03:13:50,16263388,link,up,46:AF:97:2E:2B:86,3,-72,age_s=548 ip=1,
tbeam,2026-08-31 03:14:39,16312041,drop,,,,,,
tbeam,2026-08-31 03:14:39,16312047,disconnected,8:ASSOC_LEAVE,,,,,our drop
tbeam,2026-08-31 03:14:39,16312047,assoc_disconnected,8,46:AF:97:2E:2B:86,3,-69,auth=7 phy=bgn pmf=0 wpa3=0,cached
tbeam,2026-08-31 03:14:42,16315491,assoc_connected,0,5A:AF:97:2E:2B:8B,3,-58,auth=7 phy=bgn pmf=0 wpa3=0,live
tbeam,2026-08-31 03:14:43,16316085,assoc_got_ip,0,5A:AF:97:2E:2B:8B,3,-57,auth=7 phy=bgn pmf=0 wpa3=0 reconnect_ms=4044,live BSSID_CHANGE
tbeam,2026-08-31 03:14:50,16323392,link,up,5A:AF:97:2E:2B:8B,3,-58,age_s=7 ip=1,
tbeam,2026-08-31 03:15:50,16383393,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=67 ip=1,
tbeam,2026-08-31 03:16:50,16443395,link,up,5A:AF:97:2E:2B:8B,3,-58,age_s=127 ip=1,
tbeam,2026-08-31 03:17:50,16503398,link,up,5A:AF:97:2E:2B:8B,3,-60,age_s=187 ip=1,
tbeam,2026-08-31 03:18:50,16563400,link,up,5A:AF:97:2E:2B:8B,3,-60,age_s=247 ip=1,
tbeam,2026-08-31 03:19:50,16623401,link,up,5A:AF:97:2E:2B:8B,3,-61,age_s=307 ip=1,
tbeam,2026-08-31 03:20:50,16683403,link,up,5A:AF:97:2E:2B:8B,3,-56,age_s=367 ip=1,
tbeam,2026-08-31 03:21:50,16743404,link,up,5A:AF:97:2E:2B:8B,3,-58,age_s=427 ip=1,
tbeam,2026-08-31 03:22:50,16803406,link,up,5A:AF:97:2E:2B:8B,3,-58,age_s=487 ip=1,
tbeam,2026-08-31 03:23:50,16863432,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=547 ip=1,
tbeam,2026-08-31 03:24:39,16912582,drop,,,,,,
tbeam,2026-08-31 03:24:39,16912588,disconnected,8:ASSOC_LEAVE,,,,,our drop
tbeam,2026-08-31 03:24:39,16912588,assoc_disconnected,8,5A:AF:97:2E:2B:8B,3,-57,auth=7 phy=bgn pmf=0 wpa3=0,cached
tbeam,2026-08-31 03:24:43,16916027,assoc_connected,0,5A:AF:97:2E:2B:8B,3,-57,auth=7 phy=bgn pmf=0 wpa3=0,live
tbeam,2026-08-31 03:24:43,16916057,assoc_got_ip,0,5A:AF:97:2E:2B:8B,3,-57,auth=7 phy=bgn pmf=0 wpa3=0 reconnect_ms=3475,live
tbeam,2026-08-31 03:24:50,16923432,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=7 ip=1,
tbeam,2026-08-31 03:25:50,16983433,link,up,5A:AF:97:2E:2B:8B,3,-56,age_s=67 ip=1,
tbeam,2026-08-31 03:26:50,17043436,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=127 ip=1,
tbeam,2026-08-31 03:27:50,17103436,link,up,5A:AF:97:2E:2B:8B,3,-60,age_s=187 ip=1,
tbeam,2026-08-31 03:28:50,17163441,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=247 ip=1,
tbeam,2026-08-31 03:29:50,17223444,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=307 ip=1,
tbeam,2026-08-31 03:30:50,17283448,link,up,5A:AF:97:2E:2B:8B,3,-58,age_s=367 ip=1,
tbeam,2026-08-31 03:31:50,17343450,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=427 ip=1,
tbeam,2026-08-31 03:32:50,17403454,link,up,5A:AF:97:2E:2B:8B,3,-55,age_s=487 ip=1,
tbeam,2026-08-31 03:33:50,17463458,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=547 ip=1,
tbeam,2026-08-31 03:34:39,17512592,drop,,,,,,
tbeam,2026-08-31 03:34:39,17512598,disconnected,8:ASSOC_LEAVE,,,,,our drop
tbeam,2026-08-31 03:34:39,17512598,assoc_disconnected,8,5A:AF:97:2E:2B:8B,3,-57,auth=7 phy=bgn pmf=0 wpa3=0,cached
tbeam,2026-08-31 03:34:43,17516057,assoc_connected,0,5A:AF:97:2E:2B:8B,3,-57,auth=7 phy=bgn pmf=0 wpa3=0,live
tbeam,2026-08-31 03:34:43,17516630,assoc_got_ip,0,5A:AF:97:2E:2B:8B,3,-56,auth=7 phy=bgn pmf=0 wpa3=0 reconnect_ms=4038,live
tbeam,2026-08-31 03:34:50,17523461,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=6 ip=1,
tbeam,2026-08-31 03:35:50,17583464,link,up,5A:AF:97:2E:2B:8B,3,-58,age_s=66 ip=1,
tbeam,2026-08-31 03:36:50,17643464,link,up,5A:AF:97:2E:2B:8B,3,-58,age_s=126 ip=1,
tbeam,2026-08-31 03:37:50,17703465,link,up,5A:AF:97:2E:2B:8B,3,-58,age_s=186 ip=1,
tbeam,2026-08-31 03:38:50,17763465,link,up,5A:AF:97:2E:2B:8B,3,-58,age_s=246 ip=1,
tbeam,2026-08-31 03:39:50,17823468,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=306 ip=1,
